0,0
0.0026,0.0529
0.0107,0.1602
0.0241,0.268
0.0426,0.3716
0.0661,0.47
0.0943,0.5627
0.1268,0.6498
0.1633,0.7317
0.2038,0.8084
0.2478,0.8799
0.295,0.9453
0.3452,1.0033
0.3978,1.0515
0.4521,1.0862
0.5071,1.1011
0.5568,0.9929
0.5977,0.8186
0.6307,0.6601
0.6566,0.5187
0.6768,0.4028
0.6924,0.3118
0.7047,0.2467
0.7152,0.2091
0.7251,0.1995
0.736,0.2181
0.7493,0.2649
0.7662,0.3385
0.7881,0.4375
0.8161,0.5592
0.8567,0.8133
0.9418,1.701
1.0385,1.9357
1.1396,2.0216
1.2419,2.0447
1.3453,2.069
1.4506,2.105
1.5583,2.1537
1.6686,2.208
1.7746,2.1182
1.8728,1.9643
1.9634,1.8126
2.0468,1.6684
2.1234,1.531
2.1934,1.3996
2.257,1.2731
2.3146,1.1507
2.3661,1.0317
2.4119,0.9156
2.452,0.8017
2.4865,0.6897
2.5155,0.5792
2.539,0.4699
2.557,0.3616
2.5697,0.2539
2.5771,0.1467
