0,0
0.0032,0.0638
0.0133,0.203
0.031,0.3527
0.0558,0.497
0.0875,0.6342
0.1257,0.7646
0.1702,0.8885
0.2206,1.0077
0.2767,1.1236
0.3386,1.2381
0.4063,1.3526
0.4797,1.4688
0.5591,1.588
0.6447,1.7115
0.7367,1.8408
0.8355,1.9761
0.9367,2.0241
1.0368,2.0022
1.1355,1.9727
1.2327,1.945
1.3287,1.9203
1.4237,1.8997
1.5179,1.8836
1.6115,1.8724
1.7048,1.8662
1.7981,1.8648
1.8915,1.8686
1.9854,1.8774
2.08,1.8918
2.1629,1.658
2.2494,1.7299
2.3378,1.7697
2.4279,1.801
2.5192,1.8269
2.6115,1.8451
2.7021,1.8121
2.7839,1.6352
2.8568,1.4586
2.9214,1.2916
2.9781,1.1347
3.0276,0.9901
3.0706,0.8606
3.108,0.7479
3.1407,0.6529
3.1694,0.5736
3.1947,0.5074
3.2172,0.4497
3.2371,0.3974
3.2544,0.347
3.2693,0.2963
3.2815,0.2445
3.291,0.1904
3.2977,0.1345
3.3016,0.0767
3.3025,0.0175
