0,0,0,0.0003
0.0003,0.0292,2.7881,0.0025
0.001,0.0721,4.4762,0.0087
0.0022,0.1182,4.5214,0.0207
0.0038,0.1644,4.66,0.0386
0.0059,0.2105,4.6262,0.0621
0.0085,0.2564,4.6438,0.0912
0.0115,0.3031,4.625,0.126
0.015,0.3492,4.6537,0.1661
0.019,0.3963,4.6713,0.2114
0.0234,0.4427,4.664,0.2617
0.0283,0.4896,4.7127,0.3165
0.0337,0.5369,4.7039,0.3761
0.0395,0.5839,4.7094,0.44
0.0458,0.6315,4.7512,0.5078
0.0526,0.6789,4.75,0.5795
0.0598,0.7266,4.7786,0.6545
0.0676,0.7747,4.7924,0.7329
0.0758,0.8225,4.7901,0.8144
0.0845,0.8709,4.8343,0.8986
0.0937,0.9191,4.8307,0.9853
0.1034,0.9676,4.8577,1.0741
0.1136,1.0164,4.8716,1.1652
0.1242,1.065,4.865,1.2581
0.1353,1.1141,4.9061,1.3526
0.1469,1.163,4.9,1.4486
0.1591,1.2124,4.9257,1.5459
0.1717,1.2616,4.919,1.6444
0.1848,1.3109,4.9377,1.7437
0.1984,1.3605,4.9604,1.8437
0.2125,1.4101,4.9546,1.9445
0.2271,1.4597,4.9584,2.0459
0.2422,1.5094,4.9762,2.1476
0.2578,1.5592,4.981,2.2495
0.2739,1.609,4.9854,2.3518
0.2905,1.659,4.9893,2.4542
0.3075,1.7088,4.9901,2.5567
0.3251,1.7589,5.0065,2.6593
0.3432,1.8088,4.9955,2.7618
0.3619,1.859,5.0106,2.8643
0.3809,1.9089,4.997,2.9666
0.4005,1.9591,5.0211,3.0686
0.4206,2.0093,5.0137,3.1707
0.4412,2.0593,5,3.2725
0.4623,2.1094,5.0199,3.374
0.4839,2.1598,5.0237,3.4753
0.506,2.2096,4.9982,3.5764
0.5286,2.2601,5.0318,3.6773
0.5517,2.3099,4.9974,3.778
0.5753,2.3602,5.0276,3.8784
0.5994,2.4103,5.0065,3.9786
0.624,2.4604,5.0141,4.0786
0.6491,2.5107,5.0143,4.1785
0.6747,2.5606,5.0006,4.2783
0.7008,2.6108,5.0176,4.3778
0.7275,2.6609,5.0089,4.4773
0.7545,2.7109,4.9953,4.5767
0.7822,2.761,5.0113,4.676
0.8103,2.811,5.0009,4.7753
0.8388,2.8609,4.9969,4.8745
0.868,2.911,5.0057,4.9738
0.8976,2.9608,4.9842,5.0733
0.9277,3.0108,4.999,5.1728
0.9583,3.0607,4.9885,5.2725
0.9894,3.1105,4.9842,5.3724
1.021,3.1604,4.9907,5.4724
1.0531,3.2103,4.9802,5.5729
1.0857,3.26,4.9755,5.6735
1.1188,3.3098,4.9817,5.7746
1.1524,3.3595,4.9711,5.8761
1.1865,3.4092,4.9679,5.9781
1.2211,3.4589,4.9628,6.0806
1.2562,3.5085,4.9686,6.1837
1.2917,3.558,4.9558,6.2873
1.3278,3.6077,4.9633,6.3917
1.3644,3.6571,4.9412,6.4969
1.4015,3.7067,4.9538,6.6028
1.439,3.7561,4.9426,6.7097
1.477,3.8054,4.9364,6.8174
1.5156,3.8549,4.9436,6.9261
1.5546,3.9041,4.9203,7.036
1.5941,3.9534,4.9325,7.1468
1.6342,4.0026,4.9228,7.2591
1.6747,4.0517,4.9058,7.3726
1.7158,4.1009,4.9202,7.4875
1.7572,4.1498,4.895,7.6039
1.7992,4.1989,4.9093,7.7218
1.8417,4.2478,4.8859,7.8414
1.8847,4.2967,4.89,7.9628
1.9281,4.3455,4.8731,8.0862
1.9721,4.3942,4.8738,8.2114
2.0165,4.4429,4.8697,8.3387
2.0614,4.4913,4.8512,8.4681
2.1068,4.54,4.8577,8.6001
2.1527,4.5882,4.8268,8.7345
2.1991,4.6366,4.8371,8.8715
2.2459,4.6848,4.8196,9.0113
2.2932,4.7329,4.8095,9.154
2.341,4.7808,4.7987,9.2998
2.3893,4.8288,4.7915,9.4489
2.4381,4.8764,4.7666,9.6015
2.4873,4.9241,4.7665,9.7579
2.5371,4.9716,4.744,9.9182
2.5872,5.0188,4.724,10.0826
2.6379,5.066,4.7268,10.2514
2.689,5.1129,4.6864,10.4251
2.7406,5.1598,4.6822,10.6037
2.7927,5.2055,4.5772,10.7877
2.8446,5.1914,-1.4078,10.9762
2.896,5.1394,-5.2052,11.1677
2.9469,5.0879,-5.1523,11.3618
2.9972,5.036,-5.1874,11.5585
3.047,4.9843,-5.1727,11.7579
3.0964,4.9324,-5.1937,11.9604
3.1452,4.8805,-5.1889,12.1662
3.1935,4.8281,-5.2427,12.3753
3.2413,4.776,-5.1995,12.5877
3.2885,4.7236,-5.2502,12.8039
3.3351,4.6711,-5.2508,13.0237
3.3814,4.6187,-5.2286,13.2477
3.4271,4.5657,-5.3005,13.476
3.4721,4.5129,-5.2891,13.7084
3.5168,4.4602,-5.266,13.9455
3.5608,4.4068,-5.3435,14.1874
3.6044,4.3539,-5.2933,14.4343
3.6474,4.3003,-5.3553,14.6867
