0,0
-0.0031,-0.0615
-0.0115,-0.1692
-0.0247,-0.2639
-0.0427,-0.3592
-0.0655,-0.4562
-0.0933,-0.5559
-0.1263,-0.6597
-0.1647,-0.7695
-0.2091,-0.8873
-0.2598,-1.0143
-0.3174,-1.1519
-0.3824,-1.3
-0.4553,-1.4579
-0.5365,-1.6244
-0.6264,-1.7975
-0.7252,-1.9755
-0.833,-2.1567
-0.95,-2.3403
-1.0757,-2.5145
-1.2001,-2.4874
-1.3195,-2.3875
-1.4336,-2.2826
-1.5422,-2.172
-1.6451,-2.0578
-1.7422,-1.9415
-1.8334,-1.8243
-1.9188,-1.7071
-1.9983,-1.5905
-2.072,-1.4747
-2.14,-1.3595
-2.2022,-1.2435
-2.2584,-1.124
-2.3082,-0.9966
-2.3509,-0.8545
-2.3855,-0.6905
-2.4104,-0.4984
-2.4243,-0.2772
